key,Data,Model,Model Params,Mean Score
"('epsilon_greedy', 'DATA_A', 0.25)",DATA_A,epsilon_greedy,0.25,5.607042258565014
"('epsilon_greedy', 'DATA_A', 0.01)",DATA_A,epsilon_greedy,0.01,5.4769123183698305
"('gradient_bandit', 'DATA_A', 0.9)",DATA_A,gradient_bandit,0.9,6.174083926439311
"('optimistic_greedy', 'DATA_A', 8.5)",DATA_A,optimistic_greedy,8.5,6.803742252040589
"('ucb', 'DATA_A', 1.5)",DATA_A,ucb,1.5,6.860984285873824
"('epsilon_greedy', 'DATA_A', 0.015625)",DATA_A,epsilon_greedy,0.015625,5.808228552622951
"('epsilon_greedy', 'DATA_A', 0.03125)",DATA_A,epsilon_greedy,0.03125,6.197258853132985
"('epsilon_greedy', 'DATA_A', 0.0625)",DATA_A,epsilon_greedy,0.0625,6.310842008416863
"('epsilon_greedy', 'DATA_A', 0.125)",DATA_A,epsilon_greedy,0.125,6.15874969516515
"('ucb', 'DATA_A', 0.15)",DATA_A,ucb,0.15,6.825374162241482
"('gradient_bandit', 'DATA_A', 0.225)",DATA_A,gradient_bandit,0.225,6.545422957479514
"('optimistic_greedy', 'DATA_A', 9.5)",DATA_A,optimistic_greedy,9.5,6.8188445578988635
"('constant_step_epsilon_greedy', 'DATA_A', (0.9, 0.0625))",DATA_A,constant_step_epsilon_greedy,"(0.9, 0.0625)",2.280904481731228
"('gradient_bandit', 'DATA_A', 0.1125)",DATA_A,gradient_bandit,0.1125,6.527313594958674
"('optimistic_greedy', 'DATA_A', 12)",DATA_A,optimistic_greedy,12,6.816053450052685
"('ucb', 'DATA_A', 0.04)",DATA_A,ucb,0.04,5.930921144795829
"('ucb', 'DATA_A', 0.6)",DATA_A,ucb,0.6,6.866407321123979
"('gradient_bandit', 'DATA_A', 0.05625)",DATA_A,gradient_bandit,0.05625,6.330310221508599
"('ucb', 'DATA_A', 3)",DATA_A,ucb,3,6.743163343712279
"('optimistic_greedy', 'DATA_A', 7)",DATA_A,optimistic_greedy,7,6.81908367582921
"('constant_step_epsilon_greedy', 'DATA_A', (0.25, 0.0625))",DATA_A,constant_step_epsilon_greedy,"(0.25, 0.0625)",4.94858376885069
"('optimistic_greedy', 'DATA_A', 10.5)",DATA_A,optimistic_greedy,10.5,6.810720951665404
"('constant_step_epsilon_greedy', 'DATA_A', (1.2, 0.0625))",DATA_A,constant_step_epsilon_greedy,"(1.2, 0.0625)",1.7984534852826795
"('gradient_bandit', 'DATA_A', 0.45)",DATA_A,gradient_bandit,0.45,6.469525417968972
"('constant_step_epsilon_greedy', 'DATA_A', (0.625, 0.0625))",DATA_A,constant_step_epsilon_greedy,"(0.625, 0.0625)",3.5553135939913427
"('gradient_bandit', 'DATA_A', 0.01)",DATA_A,gradient_bandit,0.01,4.637208871928975
"('optimistic_greedy', 'DATA_A', 5)",DATA_A,optimistic_greedy,5,6.6130981297735145
"('optimistic_greedy', 'DATA_A', 8)",DATA_A,optimistic_greedy,8,6.801941597804796
"('gradient_bandit', 'DATA_A', 1.2)",DATA_A,gradient_bandit,1.2,6.055669071650645
"('epsilon_greedy', 'DATA_A', 0.0078125)",DATA_A,epsilon_greedy,0.0078125,5.371298173675157
"('optimistic_greedy', 'DATA_A', 0)",DATA_A,optimistic_greedy,0,4.26995411323606
"('constant_step_epsilon_greedy', 'DATA_A', (0.05, 0.0625))",DATA_A,constant_step_epsilon_greedy,"(0.05, 0.0625)",4.998248278666791
"('constant_step_epsilon_greedy', 'DATA_A', (0.1, 0.0625))",DATA_A,constant_step_epsilon_greedy,"(0.1, 0.0625)",5.153725335696838
"('ucb', 'DATA_A', 6)",DATA_A,ucb,6,6.393738784457117
"('constant_step_epsilon_greedy', 'DATA_A', (0.01, 0.0625))",DATA_A,constant_step_epsilon_greedy,"(0.01, 0.0625)",4.559799958185003
"('optimistic_greedy', 'DATA_A', 6)",DATA_A,optimistic_greedy,6,6.840902738154712
"('constant_step_epsilon_greedy', 'DATA_B', (0.625, 0.0625))",DATA_B,constant_step_epsilon_greedy,"(0.625, 0.0625)",-0.18311275519733286
"('gradient_bandit', 'DATA_B', 0.9)",DATA_B,gradient_bandit,0.9,0.05882131014331359
"('gradient_bandit', 'DATA_B', 1.2)",DATA_B,gradient_bandit,1.2,0.050459407759110037
"('ucb', 'DATA_B', 0.15)",DATA_B,ucb,0.15,0.049544267596668155
"('epsilon_greedy', 'DATA_B', 0.0625)",DATA_B,epsilon_greedy,0.0625,-0.0471451304736626
"('epsilon_greedy', 'DATA_B', 0.03125)",DATA_B,epsilon_greedy,0.03125,0.003728926212077264
"('epsilon_greedy', 'DATA_B', 0.0078125)",DATA_B,epsilon_greedy,0.0078125,0.061781018916212516
"('optimistic_greedy', 'DATA_B', 0)",DATA_B,optimistic_greedy,0,0.05617145358018903
"('optimistic_greedy', 'DATA_B', 6)",DATA_B,optimistic_greedy,6,0.04918449201408354
